"FullName","LineCount"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\PopupSetBuilder.tsx","152"
"G:\lagoaformosanomomento\src\components\admin\DashboardView.tsx","152"
"G:\lagoaformosanomomento\src\components\home\popup\PromoPopupCarousel.tsx","150"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\SeparatorBlock.tsx","150"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\components\EffectsPanel.tsx","150"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\PollEditor.tsx","149"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\PopupList.tsx","148"
"G:\lagoaformosanomomento\src\components\admin\settings\IntegrationSettings.tsx","148"
"G:\lagoaformosanomomento\src\components\ads\AdBanner.tsx","143"
"G:\lagoaformosanomomento\src\components\ui\video-thumbnail-player.tsx","143"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\inspector\panels\ListPanel.tsx","142"
"G:\lagoaformosanomomento\src\components\common\GlobalModals.tsx","142"
"G:\lagoaformosanomomento\src\components\admin\users\panels\PurchaseHistoryModal.tsx","141"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\renderers\itemList.tsx","137"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserPermissionsPanel.tsx","136"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\showcase\AdLivePreview.tsx","136"
"G:\lagoaformosanomomento\src\components\admin\users\UserList.tsx","136"
"G:\lagoaformosanomomento\src\components\home\PartnersStrip.tsx","135"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\inspector\panels\DividerPanel.tsx","135"
"G:\lagoaformosanomomento\src\components\admin\users\panels\pos\POSCart.tsx","134"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\media-block-components\VideoEffectsPanel.tsx","134"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\CouponsSection.tsx","132"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\renderers\headlineBlock.tsx","131"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\SubscriptionDatesSection.tsx","130"
"G:\lagoaformosanomomento\src\components\news\GalleryRenderer.tsx","129"
"G:\lagoaformosanomomento\src\components\admin\users\UserListTable.tsx","129"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popup\PreviewStage.tsx","128"
"G:\lagoaformosanomomento\src\components\admin\advertisers\list\AdvertiserRow.tsx","128"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\VideoLinkBlock.tsx","128"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\inspector\panels\QuotePanel.tsx","128"
"G:\lagoaformosanomomento\src\components\home\MainNewsGrid.tsx","127"
