"Name","LineCount"
"src\components\admin\editor\banner\components\LayoutSelector.tsx","44"
"src\components\admin\editor\gallery\GalleryPreview.tsx","44"
"src\components\admin\editor\engagement\RankingEditor.tsx","44"
"src\components\admin\advertisers\config\panels\PromoPopupPanel.tsx","44"
"src\components\admin\editor\engagement\CounterEditor.tsx","44"
"src\components\admin\advertisers\config\PlansConfigView.tsx","43"
"src\components\admin\advertisers\editor\sections\AdvertiserPopupSection.tsx","43"
"src\components\admin\editor\engagement\CTAEditor.tsx","42"
"src\components\admin\advertisers\popup\PopupPreview.tsx","42"
"src\components\admin\jobs\JobFilterBar.tsx","41"
"src\components\admin\advertisers\editor\sections\showcase\ImageSequenceUploader.tsx","40"
"src\components\admin\editor\engagement\ThermometerEditor.tsx","39"
"src\components\admin\AdvertisersTab.tsx","38"
"src\components\admin\advertisers\editor\sections\showcase\VideoUploaderWrapper.tsx","37"
"src\components\admin\inspector\InspectorHeader.tsx","36"
"src\components\admin\editor\blocks\textblock\render\renderers\visualDivider.tsx","35"
"src\components\admin\editor\banner\banner-components\YouTubeUploadStatus.tsx","35"
"src\components\admin\editor\blocks\CTABlock.tsx","34"
"src\components\admin\editor\engagement\ReactionEditor.tsx","33"
"src\components\admin\editor\blocks\RelatedBlock.tsx","30"
"src\components\admin\editor\blocks\media\EffectControl.tsx","27"
"src\components\admin\advertisers\config\panels\PlansPanel.tsx","24"
"src\components\admin\editor\blocks\textblock\MobileToolBtn.tsx","23"
"src\components\admin\advertisers\config\panels\PlacementsPanel.tsx","22"
"src\components\admin\editor\engagement\QuizEditor.tsx","20"
